Author_Handle,tweet_count
AntnMartnLpez1,1
guido__ce,1
rizikson,1
JaimeDunn_,1
elfrente_amplio,1
jgalemparte,1
JosMigu77360272,1
aguilo_sergio,1
AntonioCR1974,1
MaisAngel,1
criacan,1
PabloLucoD,1
lechugasencilla,1
SDoriaMedina,1
Amarillos_Chile,1
PalmaEdwin,1
XimeSu3,1
JairIngeniero,1
racomo1965,1
Pattycer,1
ninaa_cl,1
A__Senna,1
blueMulholland,1
santinodezzotti,1
Marcos_Mtz84,1
liberalesdepie,1
kibudi,1
cristiancrespoj,1
Antonio27591643,1
CaritoDuqueR,1
JoseRaf07325767,1
MauroFdz,1
pintoperiodista,1
romadelrevess,1
javiernegre10,1
mgjaquep,1
La_Segunda,1
PattyCampos1812,1
mao3000000,1
Turgon1998,1
nelsonavila,1
hermanntertsch,1
supershadai,1
ElprofeKoffmann,1
McpSomos,1
DanPuro_Cringe,1
gkatopodis,1
bbluman,1
WalterValverde6,1
andrescarob,1
Jjmuante2,1
S23Alejandro,1
AAutodidacta,1
icevainillaice,1
danilofuents,1
Alejand07215192,1
MrSnflKe2000,1
BlinkQuinn,1
BienTwitero,1
naticastillo_r,1
pilarpaisajista,1
AugustoPino1973,1
Grecoh28,1
TarynCoopman,1
patyCAlvarez,1
zizoyzizoy33,1
monkeyd_mm,1
RodrigoSafdiye,1
Cami_FloresO,1
santiagoangelp,1
eltemagv,1
socioperiodismo,1
Nanisimo,1
lucasllach,1
Chucurumbitto,1
SalvaPresidente,1
SarahPerezSanta,1
JavierM89087400,1
DipCristobal,1
alexis_mera_g,1
Juanito7magic32,1
Onfirereal2012,1
cuncunoide,1
patobonato,1
notbrisaliberal,1
maticrisis,1
armesillaconde,1
davidlc17,1
cryn_ng,1
_lakaiser,1
Mariandre_2,1
Sublevados_,1
SXTrece,1
RGarciaLorca,1
academica97,1
ErizoCL,1
Soymartina39,1
fuertecito,1
MartnKohan1,1
RAlvarezDelgado,1
matiaspalma8,1
LaMartinetaOff,1
lidiamerenciano,1
ciiing3,1
ChristianDCHn,1
stevee_maren2,1
matrixortiz02,1
ignarcio,1
rubymollo,1
carolinapinoc,1
iridesarr25,1
Pklesse,1
avilanieto,1
RAMSESTX,1
paisencaos,1
ernestogarratt,1
RojoEdwards,1
DrLagarca2,1
paloespin,1
felipekast,1
Adrianaveterin2,1
lintortafritera,1
YohanaaGaleanno,1
mario4thenorth,1
martinvars,1
MachadoDarlon,1
GabrielBoric,1
JorgeERitter,1
skz_voteystream,1
epigmenioibarra,1
mo_onstar95,1
SantaFeSoporte,1
YoelDeLeon23,1
Arancibia2020,1
atlanticsurff,1
Tisco70Toledo,1
RCVHonduras,1
Santamorte00,1
MagJorgeCastro,1
matiasbaldo,1
PonchoGutz,1
ElMisterPeri,1
Sumtertius73,1
IsaacVtuber11,1
DSantaCruzok,1
Ihavetweeter,1
Icarus3012,1
aerysgot,1
LauraUlloa_CUN,1
iaresearchcl,1
agnostico161,1
casigol66,1
ZeranFaride,1
UnaEntidad,1
ImpuestosyE,1
joseto_t,1
NavarroGenta,1
Primera_Linea_,1
abrahamendieta,1
marthakmagana,1
RicardoNoboaB,1
alejasolano,1
Tono_Coloma,1
MONAQUILOMBERA,1
PatronaQuinn_,1
BrankoSCZ,1
cristinaplazasm,1
indignadoxd,1
fs110,1
Humanismo4T,1
FarroRobot,1
ctorresn,1
jlaloca001,1
zona_libertaria,1
EVELINSCHIMM,1
ArgentinaSoyNSB,1
Pokecarlengues,1
DanielS93481031,1
