,degree,in_degree,out_degree,betweenness,harmonic_closeness,pagerank,eigenvector,k_core,clustering
Diego_Vitale11,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
DonDisperso,2,2,0,0.0,2.0,0.002119910586094331,5.141418025745184e-07,1,0
DrPrimus_,1,1,0,0.0,1.5,0.0013753675970520213,3.0301548790030126e-06,1,0
Dr_GaIIardo,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
EAdamovsky,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
EVELINSCHIMM,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Edgar_VotaJara,1,1,0,0.0,1.0,0.0011890332133626324,2.62540494931669e-07,1,0
EdisonBedoya21,1,1,0,0.0,2.5,0.0033796917778319223,8.565383647145704e-06,1,0
Editor_76,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Eduardo37752765,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Educaciongrat,1,1,0,0.0,1.0,0.0011890332133626324,2.62540494931669e-07,1,0
ElCautiv0,2,2,0,0.0,2.0,0.003048852662832825,5.141418025745184e-07,1,0
ElLauchaOkey,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
ElMisterPeri,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
ElTrumpista,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
El_Tommy85,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
ElianaCere,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
EncuestasChil10,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
EpubliR,1,1,0,0.0,1.0,0.0013210204000992265,2.62540494931669e-07,1,0
Erika_Velasco_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Espertma_,3,1,2,5.047063870593282e-06,1.0,0.002088945850203048,2.62540494931669e-07,1,0
EstebanMerchan7,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
EstebanOrtizMD,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
EstebanPaulon,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
FRM87,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
FernandoAM1,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
FernandoLealA,2,2,0,0.0,2.0,0.003048852662832825,5.141418025745184e-07,1,0
FlorMar91839709,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
ForgetKmilo,1,1,0,0.0,1.0,0.001235695350087691,2.62540494931669e-07,1,0
Foro_MAD,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
FuckLeft_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Funesta,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
GL0SSMYLARG0,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
GabrielBoric,4,0,4,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Gerdan688272,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
Gilraen13,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
GiovannyEnciso,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
GobiernodeChile,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
GradeGeorge,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Grecoh28,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Gronow66,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
GuilleRusso,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
GuillemCristo,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
GustavoRocMtz,2,2,0,0.0,2.0,0.0025688992565179366,5.141418025745184e-07,1,0
H3ktor14,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
HAGOV_Morenista,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
HOLLMANMORRIS,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
HQGatica,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
Hachita1212,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
HadesFFGC,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
Hanzinho,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
HeliaMolina_M,2,2,0,0.0,2.0,0.003048852662832825,5.141418025745184e-07,1,0
HernanLarrain,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
HispaniaeInsurr,1,1,0,0.0,1.0,0.0013210204000992265,2.62540494931669e-07,1,0
IglesiasJulio87,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
IgualdadPartido,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
IndeaGopanda,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
InfinitaFM,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Info_War_Chile,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Informa3Chile,8,5,3,3.427797545444604e-05,5.0,0.003502654761752351,1.2689457255030662e-06,3,0
InformaCosmos,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Inspectorvalle2,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
IreneVelezT,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
IrinaKaramanos,2,1,1,2.523531935296641e-06,1.0,0.002088945850203048,2.62540494931669e-07,1,0
IrvingGatell,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
IsaC_Chile,1,1,0,0.0,3.0,0.0027638703791350474,1.1332998031217043e-05,1,0
IsaacVtuber11,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Ivy_Cangaro,1,1,0,0.0,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
JEESxorcismo,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
JIrarrazavalR,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
JKPolloProgre,1,1,0,0.0,4.5,0.0016417736854249815,1.9635841183431068e-05,1,0
JMdel38,5,4,1,1.0094127741186564e-05,4.0,0.0015666309649257793,1.0173444178602173e-06,3,0
JMilei,8,0,8,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
JPSanhuezaT,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
JS_Chile,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
JackSpartanXX,6,6,0,0.0,6.0,0.006888479913351932,1.5205470331459153e-06,1,0
JackedIn,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
JaimeCCS,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
JaraNosUne,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
JeanIniguezM,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
Jestrada05S,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
JimmyPsicol,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Jingwas_N,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
Johnenladeep,1,1,0,0.0,2.0,0.0014568883924812133,5.797769263074357e-06,1,0
